enzyme_name,species_name
lignin peroxidase, Lyngbya diguetii
manganese peroxidase, Lyngbya diguetii
versatile peroxidase, Lyngbya diguetii
laccase, Nostoc carneum
lignin peroxidase, Nostoc carneum
manganese peroxidase, Nostoc carneum
versatile peroxidase, Nostoc carneum
laccase, Cylindrospermum muscicola
lignin peroxidase, Cylindrospermum muscicola
manganese peroxidase, Cylindrospermum muscicola
versatile peroxidase, Cylindrospermum muscicola
laccase, Chlorella pyrenoidosa
lignin peroxidase, Chlorella pyrenoidosa
manganese peroxidase, Chlorella pyrenoidosa
versatile peroxidase, Chlorella pyrenoidosa
laccase, Cylindrotheca closterium
lignin peroxidase, Cylindrotheca closterium
manganese peroxidase, Cylindrotheca closterium
versatile peroxidase, Cylindrotheca closterium
laccase, Uronema africanum Borge
lignin peroxidase, Uronema africanum Borge
manganese peroxidase, Uronema africanum Borge
versatile peroxidase, Uronema africanum Borge
laccase, Spirulina sp
lignin peroxidase, Spirulina sp
manganese peroxidase, Spirulina sp
versatile peroxidase, Spirulina sp
laccase, Acutodesmus obliquus
lignin peroxidase, Acutodesmus obliquus
manganese peroxidase, Acutodesmus obliquus
versatile peroxidase, Acutodesmus obliquus
laccase, Picochlorum maculatum
lignin peroxidase, Picochlorum maculatum
manganese peroxidase, Picochlorum maculatum
versatile peroxidase, Picochlorum maculatum
laccase, Amphora sp
lignin peroxidase, Amphora sp
manganese peroxidase, Amphora sp
versatile peroxidase, Amphora sp
laccase, Synechocystis sp
lignin peroxidase, Synechocystis sp
manganese peroxidase, Synechocystis sp
versatile peroxidase, Synechocystis sp
laccase, Navicula sp
lignin peroxidase, Navicula sp
manganese peroxidase, Navicula sp
versatile peroxidase, Navicula sp
laccase, Limnospira indica
lignin peroxidase, Limnospira indica
manganese peroxidase, Limnospira indica
versatile peroxidase, Limnospira indica
laccase, Chloroidium saccharophilum
lignin peroxidase, Chloroidium saccharophilum
manganese peroxidase, Chloroidium saccharophilum
versatile peroxidase, Chloroidium saccharophilum
laccase, Hymenomonas globosa
lignin peroxidase, Hymenomonas globosa
manganese peroxidase, Hymenomonas globosa
versatile peroxidase, Hymenomonas globosa
laccase, Limnospira indica
lignin peroxidase, Limnospira indica
manganese peroxidase, Limnospira indica
versatile peroxidase, Limnospira indica
laccase, Chlorella vulgaris
lignin peroxidase, Chlorella vulgaris
manganese peroxidase, Chlorella vulgaris
versatile peroxidase, Chlorella vulgaris
laccase, Licmophora sp
lignin peroxidase, Licmophora sp
manganese peroxidase, Licmophora sp
versatile peroxidase, Licmophora sp
laccase, Stauroneis sp
lignin peroxidase, Stauroneis sp
manganese peroxidase, Stauroneis sp
versatile peroxidase, Stauroneis sp
laccase, Striatella unipunctata
lignin peroxidase, Striatella unipunctata
manganese peroxidase, Striatella unipunctata
versatile peroxidase, Striatella unipunctata
laccase, Planktothrix sp
lignin peroxidase, Planktothrix sp
manganese peroxidase, Planktothrix sp
versatile peroxidase, Planktothrix sp
laccase, Merismopedia sp
lignin peroxidase, Merismopedia sp
manganese peroxidase, Merismopedia sp
versatile peroxidase, Merismopedia sp
laccase, Anabaena sp
lignin peroxidase, Anabaena sp
manganese peroxidase, Anabaena sp
versatile peroxidase, Anabaena sp
laccase, Pediastrum sp
lignin peroxidase, Pediastrum sp
manganese peroxidase, Pediastrum sp
versatile peroxidase, Pediastrum sp
laccase, Nitzschia intermedia
lignin peroxidase, Nitzschia intermedia
manganese peroxidase, Nitzschia intermedia
versatile peroxidase, Nitzschia intermedia
laccase, Amphora ovalis
lignin peroxidase, Amphora ovalis
manganese peroxidase, Amphora ovalis
versatile peroxidase, Amphora ovalis
laccase, Oscillatoria princeps
lignin peroxidase, Oscillatoria princeps
manganese peroxidase, Oscillatoria princeps
versatile peroxidase, Oscillatoria princeps
laccase, Scenedesmus quadricauda
lignin peroxidase, Scenedesmus quadricauda
manganese peroxidase, Scenedesmus quadricauda
versatile peroxidase, Scenedesmus quadricauda
laccase, Microcystis aeruginosa
lignin peroxidase, Microcystis aeruginosa
manganese peroxidase, Microcystis aeruginosa
versatile peroxidase, Microcystis aeruginosa
laccase, Aphanothece microscopica
lignin peroxidase, Aphanothece microscopica
manganese peroxidase, Aphanothece microscopica
versatile peroxidase, Aphanothece microscopica
laccase, Lyngbya cinerescens
lignin peroxidase, Lyngbya cinerescens
manganese peroxidase, Lyngbya cinerescens
